Proceeding_Number,Proceeding_Type,Filing_Date,Detail_URL,Cell_1
88560496,EXA,11/30/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=88560496&pty=EXA,8856049611/30/2020
88564193,EXA,11/30/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=88564193&pty=EXA,8856419311/30/2020
91264764,OPP,09/14/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=91264764&pty=OPP,9126476409/14/2020
91253188,OPP,09/04/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=91253188&pty=OPP,9125318809/04/2020
88658897,EXT,07/14/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=88658897&pty=EXT,8865889707/14/2020
92074335,CAN,05/27/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=92074335&pty=CAN,9207433505/27/2020
88576366,EXT,01/13/2020,https://ttabvue.uspto.gov/ttabvue/v?pno=88576366&pty=EXT,8857636601/13/2020
88311984,EXT,08/29/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88311984&pty=EXT,8831198408/29/2019
88082662,EXT,08/12/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88082662&pty=EXT,8808266208/12/2019
88082724,EXT,08/12/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88082724&pty=EXT,8808272408/12/2019
88082819,EXT,08/12/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88082819&pty=EXT,8808281908/12/2019
88082853,EXT,08/12/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88082853&pty=EXT,8808285308/12/2019
91249177,OPP,06/27/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=91249177&pty=OPP,9124917706/27/2019
88210239,EXT,05/29/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88210239&pty=EXT,8821023905/29/2019
79222240,EXT,03/11/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=79222240&pty=EXT,7922224003/11/2019
88142264,EXT,01/25/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=88142264&pty=EXT,8814226401/25/2019
91245793,OPP,01/11/2019,https://ttabvue.uspto.gov/ttabvue/v?pno=91245793&pty=OPP,9124579301/11/2019
91244872,OPP,11/20/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=91244872&pty=OPP,9124487211/20/2018
92069548,CAN,09/18/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=92069548&pty=CAN,9206954809/18/2018
92069616,CAN,09/18/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=92069616&pty=CAN,9206961609/18/2018
87819549,EXT,08/17/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=87819549&pty=EXT,8781954908/17/2018
87786034,EXT,08/15/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=87786034&pty=EXT,8778603408/15/2018
87179478,EXA,05/21/2018,https://ttabvue.uspto.gov/ttabvue/v?pno=87179478&pty=EXA,8717947805/21/2018
87162134,EXT,09/06/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=87162134&pty=EXT,8716213409/06/2017
91235989,OPP,08/07/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=91235989&pty=OPP,9123598908/07/2017
91235991,OPP,08/07/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=91235991&pty=OPP,9123599108/07/2017
91235954,OPP,08/04/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=91235954&pty=OPP,9123595408/04/2017
87245247,EXT,06/30/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=87245247&pty=EXT,8724524706/30/2017
87168362,EXT,03/03/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=87168362&pty=EXT,8716836203/03/2017
87168397,EXT,03/03/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=87168397&pty=EXT,8716839703/03/2017
92065551,CAN,02/28/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=92065551&pty=CAN,9206555102/28/2017
79178859,EXA,02/06/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=79178859&pty=EXA,7917885902/06/2017
91232412,OPP,01/23/2017,https://ttabvue.uspto.gov/ttabvue/v?pno=91232412&pty=OPP,9123241201/23/2017
86921588,EXT,08/25/2016,https://ttabvue.uspto.gov/ttabvue/v?pno=86921588&pty=EXT,8692158808/25/2016
91225391,OPP,12/16/2015,https://ttabvue.uspto.gov/ttabvue/v?pno=91225391&pty=OPP,9122539112/16/2015
91224977,OPP,11/23/2015,https://ttabvue.uspto.gov/ttabvue/v?pno=91224977&pty=OPP,9122497711/23/2015
86568302,EXT,09/04/2015,https://ttabvue.uspto.gov/ttabvue/v?pno=86568302&pty=EXT,8656830209/04/2015
86476220,EXT,06/17/2015,https://ttabvue.uspto.gov/ttabvue/v?pno=86476220&pty=EXT,8647622006/17/2015
86197335,EXT,07/25/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=86197335&pty=EXT,8619733507/25/2014
86134475,EXT,07/01/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=86134475&pty=EXT,8613447507/01/2014
86168118,EXT,07/01/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=86168118&pty=EXT,8616811807/01/2014
91216807,OPP,06/11/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=91216807&pty=OPP,9121680706/11/2014
85922941,EXT,02/26/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=85922941&pty=EXT,8592294102/26/2014
85922970,EXT,02/26/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=85922970&pty=EXT,8592297002/26/2014
92058628,CAN,02/04/2014,https://ttabvue.uspto.gov/ttabvue/v?pno=92058628&pty=CAN,9205862802/04/2014
92058259,CAN,11/20/2013,https://ttabvue.uspto.gov/ttabvue/v?pno=92058259&pty=CAN,9205825911/20/2013
85790179,EXT,08/08/2013,https://ttabvue.uspto.gov/ttabvue/v?pno=85790179&pty=EXT,8579017908/08/2013
85623236,EXT,06/18/2013,https://ttabvue.uspto.gov/ttabvue/v?pno=85623236&pty=EXT,8562323606/18/2013
85615703,EXT,11/01/2012,https://ttabvue.uspto.gov/ttabvue/v?pno=85615703&pty=EXT,8561570311/01/2012
85239834,EXT,07/17/2012,https://ttabvue.uspto.gov/ttabvue/v?pno=85239834&pty=EXT,8523983407/17/2012
85133953,EXT,11/16/2011,https://ttabvue.uspto.gov/ttabvue/v?pno=85133953&pty=EXT,8513395311/16/2011
85216367,EXT,06/10/2011,https://ttabvue.uspto.gov/ttabvue/v?pno=85216367&pty=EXT,8521636706/10/2011
91200144,OPP,06/06/2011,https://ttabvue.uspto.gov/ttabvue/v?pno=91200144&pty=OPP,9120014406/06/2011
77849757,EXT,01/06/2011,https://ttabvue.uspto.gov/ttabvue/v?pno=77849757&pty=EXT,7784975701/06/2011
77952574,EXT,10/07/2010,https://ttabvue.uspto.gov/ttabvue/v?pno=77952574&pty=EXT,7795257410/07/2010
85037999,EXT,10/07/2010,https://ttabvue.uspto.gov/ttabvue/v?pno=85037999&pty=EXT,8503799910/07/2010
77618338,EXT,10/26/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=77618338&pty=EXT,7761833810/26/2009
91192131,OPP,10/02/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=91192131&pty=OPP,9119213110/02/2009
91190994,OPP,07/10/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=91190994&pty=OPP,9119099407/10/2009
77622786,EXT,05/05/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=77622786&pty=EXT,7762278605/05/2009
77550164,EXT,03/16/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=77550164&pty=EXT,7755016403/16/2009
77391242,EXT,03/11/2009,https://ttabvue.uspto.gov/ttabvue/v?pno=77391242&pty=EXT,7739124203/11/2009
92047206,CAN,03/12/2007,https://ttabvue.uspto.gov/ttabvue/v?pno=92047206&pty=CAN,9204720603/12/2007
91170238,OPP,04/06/2006,https://ttabvue.uspto.gov/ttabvue/v?pno=91170238&pty=OPP,9117023804/06/2006
91161983,OPP,09/07/2004,https://ttabvue.uspto.gov/ttabvue/v?pno=91161983&pty=OPP,9116198309/07/2004
78295748,EXT,09/01/2004,https://ttabvue.uspto.gov/ttabvue/v?pno=78295748&pty=EXT,7829574809/01/2004
78261068,EXT,06/07/2004,https://ttabvue.uspto.gov/ttabvue/v?pno=78261068&pty=EXT,7826106806/07/2004
76384764,EXA,09/30/2003,https://ttabvue.uspto.gov/ttabvue/v?pno=76384764&pty=EXA,7638476409/30/2003
76384755,EXA,09/26/2003,https://ttabvue.uspto.gov/ttabvue/v?pno=76384755&pty=EXA,7638475509/26/2003
76384762,EXA,09/26/2003,https://ttabvue.uspto.gov/ttabvue/v?pno=76384762&pty=EXA,7638476209/26/2003
78079721,EXT,12/19/2002,https://ttabvue.uspto.gov/ttabvue/v?pno=78079721&pty=EXT,7807972112/19/2002
91151829,OPP,05/08/2002,https://ttabvue.uspto.gov/ttabvue/v?pno=91151829&pty=OPP,9115182905/08/2002
